ID_Aluno,First_Name,Last_Name,Email,Gender,Age,Parent_Education_Level,Family_Income_Level
S1101,Sara,Davis,student101@university.com,Female,23,Master's,Low
S1102,Sara,Jones,student102@university.com,Male,24,High School,Low
S1103,Maria,Jones,student103@university.com,Female,22,,Medium
S1104,Sara,Jones,student104@university.com,Female,21,PhD,Medium
S1105,Sara,Williams,student105@university.com,Female,23,,High
S1106,Emma,Jones,student106@university.com,Female,24,Bachelor's,Medium
S1107,Maria,Williams,student107@university.com,Female,22,High School,Low
S1108,Emma,Smith,student108@university.com,Female,22,,Low
S1109,Omar,Smith,student109@university.com,Female,19,,Medium
S1110,Liam,Davis,student110@university.com,Male,24,,High
S1111,Omar,Smith,student111@university.com,Female,21,PhD,Low
S1112,Liam,Davis,student112@university.com,Male,23,Bachelor's,Medium
S1113,Emma,Johnson,student113@university.com,Female,20,High School,Low
S1114,Omar,Johnson,student114@university.com,Female,18,,Low
S1115,Maria,Brown,student115@university.com,Male,21,,Medium
S1116,Ali,Davis,student116@university.com,Male,20,Master's,Medium
S1117,Emma,Brown,student117@university.com,Female,21,High School,Low
S1118,Liam,Brown,student118@university.com,Male,24,High School,High
S1119,Ahmed,Johnson,student119@university.com,Female,20,,Medium
S1120,Liam,Davis,student120@university.com,Female,24,,Medium
S1121,Ahmed,Johnson,student121@university.com,Male,20,,Medium
S1122,Sara,Brown,student122@university.com,Male,21,,Low
S1123,Omar,Davis,student123@university.com,Male,19,PhD,High
S1124,Ahmed,Brown,student124@university.com,Male,21,PhD,Medium
S1125,Liam,Jones,student125@university.com,Female,24,Bachelor's,High
S1126,Sara,Davis,student126@university.com,Male,21,,Low
S1127,Ali,Davis,student127@university.com,Male,20,Bachelor's,High
S1128,Maria,Brown,student128@university.com,Male,18,PhD,Low
S1129,Maria,Jones,student129@university.com,Male,20,Master's,Low
S1130,Maria,Williams,student130@university.com,Male,22,High School,Low
S1131,Ahmed,Johnson,student131@university.com,Female,21,PhD,High
S1132,Ali,Brown,student132@university.com,Female,23,,Low
S1133,Ahmed,Davis,student133@university.com,Male,21,Master's,Medium
S1134,Omar,Johnson,student134@university.com,Male,19,,Low
S1135,Ahmed,Johnson,student135@university.com,Female,24,Master's,Low
S1136,Ali,Johnson,student136@university.com,Male,23,PhD,Medium
S1137,Ali,Williams,student137@university.com,Female,20,,High
S1138,Omar,Smith,student138@university.com,Female,19,,Low
S1139,Ali,Brown,student139@university.com,Male,21,,Medium
S1140,Liam,Smith,student140@university.com,Female,20,Bachelor's,Medium
S1141,Ali,Smith,student141@university.com,Male,20,,Low
S1142,Maria,Smith,student142@university.com,Male,22,,High
S1143,Liam,Johnson,student143@university.com,Female,22,PhD,Medium
S1144,Liam,Jones,student144@university.com,Female,18,Bachelor's,High
S1145,Omar,Johnson,student145@university.com,Male,22,,Low
S1146,John,Johnson,student146@university.com,Female,24,Bachelor's,Low
S1147,John,Davis,student147@university.com,Male,23,Bachelor's,Medium
S1148,Ali,Davis,student148@university.com,Female,20,,High
S1149,Liam,Smith,student149@university.com,Female,22,PhD,Low
S1150,John,Johnson,student150@university.com,Male,18,High School,Low
S1151,John,Smith,student151@university.com,Male,21,PhD,Medium
S1152,Ali,Davis,student152@university.com,Male,23,PhD,Low
S1153,John,Jones,student153@university.com,Female,22,,Medium
S1154,Ahmed,Brown,student154@university.com,Male,20,,Low
S1155,Sara,Smith,student155@university.com,Male,21,,Medium
S1156,Omar,Jones,student156@university.com,Female,24,High School,High
S1157,Sara,Brown,student157@university.com,Female,20,Bachelor's,Low
S1158,Ali,Williams,student158@university.com,Male,21,High School,High
S1159,Maria,Smith,student159@university.com,Male,24,Bachelor's,Low
S1160,Omar,Smith,student160@university.com,Male,24,High School,Medium
S1161,Ali,Williams,student161@university.com,Male,23,,Low
S1162,Liam,Williams,student162@university.com,Female,20,PhD,Low
S1163,Maria,Smith,student163@university.com,Female,22,Bachelor's,Medium
S1164,Sara,Williams,student164@university.com,Male,22,Bachelor's,Medium
S1165,Ali,Johnson,student165@university.com,Male,18,Bachelor's,Medium
S1166,Liam,Brown,student166@university.com,Male,21,Master's,Low
S1167,Omar,Brown,student167@university.com,Female,18,,Medium
S1168,Omar,Brown,student168@university.com,Male,19,Master's,Low
S1169,Emma,Johnson,student169@university.com,Male,22,,Low
S1170,Liam,Williams,student170@university.com,Female,21,,Medium
S1171,Ahmed,Jones,student171@university.com,Female,23,PhD,High
S1172,John,Williams,student172@university.com,Male,18,Bachelor's,Medium
S1173,Maria,Smith,student173@university.com,Male,23,,Low
S1174,Liam,Davis,student174@university.com,Female,23,Bachelor's,High
S1175,Emma,Brown,student175@university.com,Male,23,Master's,Low
S1176,John,Williams,student176@university.com,Male,18,,Medium
S1177,John,Jones,student177@university.com,Female,19,,Low
S1178,Ali,Smith,student178@university.com,Female,24,Master's,Medium
S1179,John,Johnson,student179@university.com,Female,24,,Low
S1180,Ahmed,Johnson,student180@university.com,Male,18,PhD,Medium
S1181,Omar,Jones,student181@university.com,Female,24,,Medium
S1182,Emma,Smith,student182@university.com,Female,20,PhD,High
S1183,John,Brown,student183@university.com,Male,24,Bachelor's,Low
S1184,Ali,Williams,student184@university.com,Male,22,Master's,Low
S1185,Ahmed,Smith,student185@university.com,Female,18,,Low
S1186,Sara,Johnson,student186@university.com,Female,24,,High
S1187,Omar,Jones,student187@university.com,Male,18,,High
S1188,Omar,Jones,student188@university.com,Male,19,Master's,Low
S1189,Emma,Williams,student189@university.com,Female,20,High School,Low
S1190,Omar,Jones,student190@university.com,Female,18,Master's,Medium
S1191,John,Jones,student191@university.com,Male,22,,Medium
S1192,Ali,Smith,student192@university.com,Female,24,,Low
S1193,Omar,Brown,student193@university.com,Male,22,,Medium
S1194,Omar,Williams,student194@university.com,Female,24,Master's,Low
S1195,Sara,Smith,student195@university.com,Male,18,PhD,Low
S1196,Sara,Brown,student196@university.com,Male,23,,Medium
S1197,Maria,Smith,student197@university.com,Female,24,Master's,High
S1198,Ahmed,Davis,student198@university.com,Female,23,High School,High
S1199,John,Smith,student199@university.com,Male,20,Bachelor's,Medium
S1200,Omar,Jones,student200@university.com,Female,22,PhD,High
S1201,Liam,Brown,student201@university.com,Female,23,PhD,Low
S1202,Omar,Williams,student202@university.com,Female,22,Master's,Low
S1203,Ali,Williams,student203@university.com,Male,24,Bachelor's,Low
S1204,Maria,Brown,student204@university.com,Female,24,Bachelor's,Low
S1205,Ahmed,Jones,student205@university.com,Female,20,,Medium
S1206,Liam,Johnson,student206@university.com,Male,24,Master's,Low
S1207,Maria,Smith,student207@university.com,Female,20,PhD,Medium
S1208,Emma,Jones,student208@university.com,Female,23,,Medium
S1209,Ahmed,Davis,student209@university.com,Male,24,PhD,High
S1210,Omar,Brown,student210@university.com,Male,18,,Medium
S1211,Omar,Smith,student211@university.com,Female,21,Master's,Low
S1212,Ahmed,Williams,student212@university.com,Female,19,,Medium
S1213,Omar,Johnson,student213@university.com,Male,21,,Medium
S1214,John,Davis,student214@university.com,Male,21,,Medium
S1215,Ahmed,Williams,student215@university.com,Female,22,Bachelor's,Low
S1216,Maria,Brown,student216@university.com,Female,20,PhD,Low
S1217,Ahmed,Smith,student217@university.com,Female,22,,Low
S1218,Liam,Brown,student218@university.com,Male,23,Master's,Low
S1219,Omar,Smith,student219@university.com,Female,19,Master's,Low
S1220,John,Jones,student220@university.com,Male,23,,Low
S1221,John,Johnson,student221@university.com,Male,18,PhD,High
S1222,Emma,Jones,student222@university.com,Male,19,,Low
S1223,Maria,Jones,student223@university.com,Female,22,,Medium
S1224,Sara,Brown,student224@university.com,Female,24,PhD,Medium
S1225,Sara,Johnson,student225@university.com,Female,24,Master's,Medium
S1226,Ahmed,Smith,student226@university.com,Male,22,,Low
S1227,Emma,Smith,student227@university.com,Female,23,,Medium
S1228,Ali,Davis,student228@university.com,Male,22,Master's,Medium
S1229,Ahmed,Williams,student229@university.com,Male,22,High School,High
S1230,Emma,Davis,student230@university.com,Male,21,,Low
S1231,Maria,Davis,student231@university.com,Male,18,Master's,Medium
S1232,Maria,Smith,student232@university.com,Male,24,,High
S1233,Maria,Brown,student233@university.com,Male,21,Bachelor's,Low
S1234,Maria,Jones,student234@university.com,Female,22,High School,Medium
S1235,Maria,Jones,student235@university.com,Male,20,,Low
S1236,Emma,Jones,student236@university.com,Female,21,PhD,Low
S1237,Emma,Johnson,student237@university.com,Male,22,,High
S1238,John,Smith,student238@university.com,Female,24,,Low
S1239,Liam,Brown,student239@university.com,Female,22,Bachelor's,Medium
S1240,Sara,Johnson,student240@university.com,Female,18,,Medium
S1241,Omar,Williams,student241@university.com,Female,23,,Low
S1242,Maria,Brown,student242@university.com,Male,19,PhD,High
S1243,Ali,Davis,student243@university.com,Male,21,High School,Low
S1244,Omar,Brown,student244@university.com,Male,21,High School,Low
S1245,Emma,Brown,student245@university.com,Male,21,Bachelor's,Low
S1246,Ali,Jones,student246@university.com,Female,22,,Medium
S1247,Ali,Brown,student247@university.com,Female,18,High School,Low
S1248,Ali,Davis,student248@university.com,Female,22,Bachelor's,Medium
S1249,John,Davis,student249@university.com,Male,22,PhD,Medium
S1250,Emma,Smith,student250@university.com,Female,23,,Low
S1251,Ali,Brown,student251@university.com,Male,20,Bachelor's,Medium
S1252,Maria,Jones,student252@university.com,Female,18,Bachelor's,Medium
S1253,Ahmed,Brown,student253@university.com,Female,21,,High
S1254,Ali,Williams,student254@university.com,Female,19,Bachelor's,High
S1255,John,Williams,student255@university.com,Female,21,PhD,High
S1256,Omar,Jones,student256@university.com,Female,22,High School,Low
S1257,Emma,Smith,student257@university.com,Male,18,,Medium
S1258,Liam,Smith,student258@university.com,Female,24,,Medium
S1259,John,Davis,student259@university.com,Male,18,Master's,Low
S1260,Ali,Davis,student260@university.com,Male,18,Bachelor's,High
S1261,Emma,Johnson,student261@university.com,Male,20,,Low
S1262,Ahmed,Jones,student262@university.com,Male,21,PhD,Medium
S1263,Ali,Brown,student263@university.com,Male,20,Master's,Low
S1264,John,Jones,student264@university.com,Male,24,,Medium
S1265,Sara,Johnson,student265@university.com,Male,24,PhD,Medium
S1266,Maria,Davis,student266@university.com,Male,23,PhD,High
S1267,Liam,Jones,student267@university.com,Female,19,,Medium
S1268,Omar,Jones,student268@university.com,Female,23,,Medium
S1269,John,Davis,student269@university.com,Male,22,,Medium
S1270,Emma,Johnson,student270@university.com,Male,20,PhD,High
S1271,Liam,Davis,student271@university.com,Male,20,,Low
S1272,Liam,Smith,student272@university.com,Female,23,PhD,Medium
S1273,Liam,Brown,student273@university.com,Female,22,Bachelor's,Low
S1274,Ali,Davis,student274@university.com,Male,18,PhD,Medium
S1275,Maria,Johnson,student275@university.com,Male,22,,Low
S1276,Ali,Williams,student276@university.com,Female,21,,Low
S1277,Emma,Smith,student277@university.com,Female,23,Master's,High
S1278,Ali,Williams,student278@university.com,Male,22,High School,Medium
S1279,Sara,Davis,student279@university.com,Male,18,,High
S1280,Maria,Smith,student280@university.com,Male,22,,Medium
S1281,Maria,Brown,student281@university.com,Male,20,Bachelor's,Medium
S1282,Emma,Davis,student282@university.com,Female,19,High School,Medium
S1283,Omar,Brown,student283@university.com,Female,20,,Low
S1284,Sara,Jones,student284@university.com,Male,24,Master's,Low
S1285,John,Williams,student285@university.com,Male,19,Bachelor's,Medium
S1286,Ali,Smith,student286@university.com,Male,24,Master's,Medium
S1287,Ahmed,Brown,student287@university.com,Female,22,,High
S1288,Ali,Johnson,student288@university.com,Male,21,PhD,Low
S1289,Liam,Brown,student289@university.com,Male,22,Bachelor's,Medium
S1290,Ali,Johnson,student290@university.com,Male,18,High School,Low
S1291,John,Davis,student291@university.com,Female,22,High School,Medium
S1292,Ali,Smith,student292@university.com,Male,19,High School,Medium
S1293,Sara,Brown,student293@university.com,Female,20,,Low
S1294,Sara,Brown,student294@university.com,Male,21,Master's,Medium
S1295,Maria,Smith,student295@university.com,Male,24,PhD,Medium
S1296,Emma,Brown,student296@university.com,Male,22,Master's,Medium
S1297,Omar,Johnson,student297@university.com,Female,22,PhD,Medium
S1298,Ahmed,Brown,student298@university.com,Male,20,Bachelor's,Low
S1299,Liam,Williams,student299@university.com,Male,21,,High
S1300,Ali,Davis,student300@university.com,Female,23,High School,High
S1301,Ali,Jones,student301@university.com,Female,24,High School,Medium
S1302,John,Johnson,student302@university.com,Female,22,PhD,Medium
S1303,Emma,Williams,student303@university.com,Male,22,Master's,Low
S1304,Sara,Davis,student304@university.com,Female,23,Bachelor's,Low
S1305,Ahmed,Smith,student305@university.com,Male,24,PhD,Medium
S1306,Maria,Johnson,student306@university.com,Female,19,High School,Low
S1307,Sara,Jones,student307@university.com,Female,19,PhD,Low
S1308,Liam,Davis,student308@university.com,Female,18,,Medium
S1309,Emma,Jones,student309@university.com,Male,20,,Low
S1310,Liam,Smith,student310@university.com,Male,21,,Low
S1311,Omar,Smith,student311@university.com,Male,22,,Low
S1312,Maria,Johnson,student312@university.com,Male,24,,Medium
S1313,Omar,Brown,student313@university.com,Male,22,Bachelor's,Medium
S1314,John,Smith,student314@university.com,Male,18,PhD,Low
S1315,Liam,Davis,student315@university.com,Male,24,Bachelor's,Medium
S1316,John,Brown,student316@university.com,Male,24,High School,Low
S1317,Ali,Williams,student317@university.com,Male,22,Master's,Low
S1318,Omar,Jones,student318@university.com,Female,20,,Low
S1319,Emma,Brown,student319@university.com,Female,18,Master's,Low
S1320,Liam,Jones,student320@university.com,Male,20,PhD,Low
S1321,Ahmed,Brown,student321@university.com,Male,18,Bachelor's,High
S1322,Maria,Williams,student322@university.com,Male,22,,High
S1323,Sara,Smith,student323@university.com,Male,18,Master's,Medium
S1324,Emma,Williams,student324@university.com,Female,19,PhD,Low
S1325,Emma,Smith,student325@university.com,Female,24,Master's,Medium
S1326,John,Smith,student326@university.com,Male,21,High School,Medium
S1327,Omar,Jones,student327@university.com,Female,22,,Low
S1328,Liam,Davis,student328@university.com,Female,23,,Low
S1329,Liam,Williams,student329@university.com,Male,21,Bachelor's,Medium
S1330,Ali,Brown,student330@university.com,Male,22,PhD,Low
S1331,Ali,Williams,student331@university.com,Male,21,PhD,Medium
S1332,Maria,Jones,student332@university.com,Male,19,,Low
S1333,John,Smith,student333@university.com,Female,21,PhD,Medium
S1334,Emma,Jones,student334@university.com,Male,18,PhD,Medium
S1335,Liam,Johnson,student335@university.com,Female,21,,Medium
S1336,Ahmed,Johnson,student336@university.com,Male,22,High School,Low
S1337,John,Brown,student337@university.com,Female,23,High School,High
S1338,Maria,Jones,student338@university.com,Male,23,Bachelor's,Low
S1339,Maria,Brown,student339@university.com,Male,20,High School,Medium
S1340,John,Brown,student340@university.com,Female,24,High School,Low
S1341,Maria,Johnson,student341@university.com,Female,21,,Low
S1342,John,Brown,student342@university.com,Female,23,High School,Medium
S1343,Sara,Johnson,student343@university.com,Male,21,High School,Low
S1344,John,Smith,student344@university.com,Female,24,High School,Medium
S1345,Omar,Jones,student345@university.com,Female,23,Master's,Medium
S1346,John,Brown,student346@university.com,Female,24,High School,High
S1347,Maria,Johnson,student347@university.com,Female,21,Master's,High
S1348,Liam,Williams,student348@university.com,Female,22,,Low
S1349,Omar,Brown,student349@university.com,Female,21,High School,Low
S1350,Maria,Davis,student350@university.com,Female,24,PhD,Medium
S1351,Ali,Smith,student351@university.com,Female,22,Master's,Low
S1352,Ali,Smith,student352@university.com,Female,22,High School,Medium
S1353,Liam,Williams,student353@university.com,Male,20,PhD,Low
S1354,Liam,Johnson,student354@university.com,Male,23,Bachelor's,Medium
S1355,Omar,Brown,student355@university.com,Female,18,Master's,Medium
S1356,Sara,Johnson,student356@university.com,Male,22,,Medium
S1357,Liam,Smith,student357@university.com,Male,24,,Low
S1358,Ali,Johnson,student358@university.com,Female,23,PhD,Low
S1359,John,Smith,student359@university.com,Female,19,Master's,Low
S1360,Maria,Johnson,student360@university.com,Female,21,,Medium
S1361,Ali,Williams,student361@university.com,Female,24,High School,High
S1362,Ali,Jones,student362@university.com,Female,19,,Medium
S1363,Sara,Williams,student363@university.com,Female,24,High School,High
S1364,Omar,Williams,student364@university.com,Male,21,,Low
S1365,Omar,Jones,student365@university.com,Female,20,,Medium
S1366,Emma,Jones,student366@university.com,Male,24,Master's,High
S1367,Sara,Brown,student367@university.com,Female,22,,Low
S1368,John,Brown,student368@university.com,Female,18,,High
S1369,Omar,Williams,student369@university.com,Male,22,High School,Medium
S1370,Maria,Williams,student370@university.com,Female,21,,High
S1371,Liam,Smith,student371@university.com,Female,24,,Low
S1372,Sara,Smith,student372@university.com,Male,18,,Medium
S1373,Liam,Brown,student373@university.com,Female,22,,Low
S1374,Ali,Davis,student374@university.com,Male,18,Bachelor's,Low
S1375,Maria,Davis,student375@university.com,Female,21,,High
S1376,Maria,Brown,student376@university.com,Female,20,,Medium
S1377,Ali,Smith,student377@university.com,Male,20,Master's,Medium
S1378,Sara,Smith,student378@university.com,Female,24,Bachelor's,Medium
S1379,Ali,Davis,student379@university.com,Male,22,,Medium
S1380,Liam,Johnson,student380@university.com,Male,19,High School,High
S1381,Emma,Johnson,student381@university.com,Male,21,High School,High
S1382,Maria,Smith,student382@university.com,Female,22,Bachelor's,Medium
S1383,Ahmed,Johnson,student383@university.com,Female,22,,High
S1384,Ahmed,Jones,student384@university.com,Male,20,Bachelor's,Low
S1385,Liam,Brown,student385@university.com,Female,24,,Low
S1386,John,Brown,student386@university.com,Female,18,Master's,Low
S1387,Omar,Smith,student387@university.com,Female,21,PhD,High
S1388,Ali,Williams,student388@university.com,Male,18,High School,Medium
S1389,Ali,Davis,student389@university.com,Female,23,Bachelor's,High
S1390,John,Smith,student390@university.com,Male,23,High School,Low
S1391,John,Johnson,student391@university.com,Female,21,,Low
S1392,Liam,Davis,student392@university.com,Female,24,High School,Medium
S1393,Liam,Williams,student393@university.com,Male,19,,Low
S1394,John,Johnson,student394@university.com,Female,23,Bachelor's,High
S1395,Maria,Jones,student395@university.com,Male,20,PhD,Medium
S1396,Liam,Johnson,student396@university.com,Female,19,,Medium
S1397,Emma,Jones,student397@university.com,Male,22,Master's,Medium
S1398,Liam,Davis,student398@university.com,Female,23,High School,Medium
S1399,Ali,Jones,student399@university.com,Female,20,Bachelor's,Medium
S1400,Liam,Davis,student400@university.com,Female,22,,Low
S1401,Maria,Davis,student401@university.com,Male,19,,High
S1402,John,Davis,student402@university.com,Male,21,,Medium
S1403,Ali,Davis,student403@university.com,Male,22,Master's,Low
S1404,Liam,Davis,student404@university.com,Female,18,High School,Medium
S1405,Maria,Johnson,student405@university.com,Male,21,Master's,Medium
S1406,Emma,Davis,student406@university.com,Male,21,,High
S1407,Liam,Johnson,student407@university.com,Male,19,High School,High
S1408,Maria,Davis,student408@university.com,Male,19,,Low
S1409,Emma,Jones,student409@university.com,Male,20,PhD,Low
S1410,John,Davis,student410@university.com,Male,20,High School,Low
S1411,Liam,Williams,student411@university.com,Male,18,,Low
S1412,Emma,Davis,student412@university.com,Male,21,Master's,Medium
S1413,Ali,Davis,student413@university.com,Male,24,PhD,Medium
S1414,John,Jones,student414@university.com,Male,18,,High
S1415,Ali,Brown,student415@university.com,Female,18,,High
S1416,Ahmed,Jones,student416@university.com,Female,24,PhD,Medium
S1417,Sara,Williams,student417@university.com,Male,24,Bachelor's,Medium
S1418,Liam,Brown,student418@university.com,Female,24,Bachelor's,Medium
S1419,Emma,Smith,student419@university.com,Female,19,PhD,Medium
S1420,Sara,Smith,student420@university.com,Male,18,,Low
S1421,Sara,Williams,student421@university.com,Male,18,,Low
S1422,Emma,Jones,student422@university.com,Male,22,High School,High
S1423,John,Johnson,student423@university.com,Female,24,,Medium
S1424,Liam,Williams,student424@university.com,Male,24,,Medium
S1425,Ahmed,Brown,student425@university.com,Female,20,,High
S1426,Ali,Brown,student426@university.com,Male,20,Bachelor's,Low
S1427,Maria,Davis,student427@university.com,Female,21,,Medium
S1428,Ali,Smith,student428@university.com,Female,20,Master's,Low
S1429,Maria,Brown,student429@university.com,Male,23,,Medium
S1430,Ali,Williams,student430@university.com,Male,21,,Low
S1431,Emma,Brown,student431@university.com,Female,24,Bachelor's,Medium
S1432,Ahmed,Williams,student432@university.com,Female,22,,Low
S1433,Liam,Johnson,student433@university.com,Male,20,PhD,Medium
S1434,Maria,Davis,student434@university.com,Male,22,Bachelor's,High
S1435,Liam,Smith,student435@university.com,Female,20,,Low
S1436,Liam,Brown,student436@university.com,Male,20,,Low
S1437,Liam,Williams,student437@university.com,Female,22,,High
S1438,Omar,Jones,student438@university.com,Male,18,PhD,Medium
S1439,John,Smith,student439@university.com,Male,18,,Medium
S1440,Ali,Johnson,student440@university.com,Male,18,PhD,Medium
S1441,Liam,Williams,student441@university.com,Female,23,,Low
S1442,Ali,Davis,student442@university.com,Male,18,PhD,Medium
S1443,Liam,Davis,student443@university.com,Female,20,,Low
S1444,Maria,Johnson,student444@university.com,Male,24,,High
S1445,John,Johnson,student445@university.com,Female,19,,Medium
S1446,John,Davis,student446@university.com,Female,22,Bachelor's,Low
S1447,Emma,Brown,student447@university.com,Male,24,Bachelor's,Medium
S1448,Omar,Brown,student448@university.com,Female,19,Bachelor's,Low
S1449,Emma,Williams,student449@university.com,Female,24,PhD,Low
S1450,Emma,Jones,student450@university.com,Female,23,,Medium
S1451,Emma,Williams,student451@university.com,Female,19,Bachelor's,Low
S1452,Emma,Jones,student452@university.com,Male,21,,Medium
S1453,Emma,Johnson,student453@university.com,Male,18,Bachelor's,High
S1454,Ahmed,Smith,student454@university.com,Male,23,,High
